Cell Line,ID,Titer_group,Titer_category,Run Time (hr),input_step,input_step_2000,input_step_400_2000,input_step_80_400_2000,glc,glc_after,glc_feed,osmo,vcd,lac,mu,qglc_poly,qlac_poly,base
CL G,295579,Top 20%,1,10,1,8,15,22,61.999061535558,61.999061535558,0.0,304.0349345535288,1.621092877953731,15.566619409820216,0.0226952199283584,0.0810911297643672,0.1339620158738049,0.0
CL G,295579,Top 20%,1,20,2,9,16,23,59.9071387575212,59.9071387575212,0.0,302.538923054351,1.977666523424363,18.011292751284056,0.0219898409365001,0.0997154076506067,0.108027031722729,0.0
CL G,295579,Top 20%,1,30,3,10,17,24,58.232585536979,58.232585536979,0.0,302.1900740596097,2.676805544800161,20.47957016887531,0.0210562676500813,0.1135907511892039,0.0869516063185635,0.0
CL G,295579,Top 20%,1,40,4,11,18,25,55.7440160749572,55.7440160749572,0.0,302.8743096700945,3.532117295446911,22.730749866643905,0.0198966294820467,0.0915142285476096,0.0512968060014579,0.0
CL G,295579,Top 20%,1,50,5,12,19,26,50.9939452419014,50.9939452419014,0.0,304.50550603651897,4.42625879383494,24.482771603233203,0.0185190815077074,0.0779415883221481,0.0324069201659351,246.584337999999
CL G,295579,Top 20%,1,60,6,13,20,27,48.2937742789582,48.2937742789582,0.0,306.4060876635966,5.25758259110343,25.52544962405873,0.0169378044647405,0.0673740962254973,0.0206611716109614,9179.227219
CL G,295579,Top 20%,1,70,7,14,21,28,45.2764639073423,75.676300857639,30.39983695029671,308.3846617155887,5.970192998956176,25.86665493450209,0.0151730047531895,0.0743161687272096,0.0163587389221359,18331.92141
CL G,295579,Top 20%,1,80,8,15,22,29,72.6589904860232,72.6589904860232,0.0,309.7061931274142,6.410054262144034,25.43984083594399,0.0132509144354639,0.071139992950658,0.0105672804070683,25161.53614
CL G,295579,Top 20%,1,90,9,16,23,30,68.1648272053109,68.1648272053109,0.0,310.6419641575162,6.927438502570869,24.54709958091146,0.0112037912363397,0.0485106059092723,0.0042256320264867,28642.18357
CL G,295579,Top 20%,1,100,10,17,24,31,65.8285156197961,65.8285156197961,0.0,309.9832771299889,7.288108760923219,23.50894578630083,0.0090699185429589,0.0461495577787403,0.0015028975048185,30971.82672
CL G,295579,Top 20%,1,110,11,18,25,32,61.7308470991807,61.7308470991807,0.0,308.3563196333354,7.47721752901381,22.664969044977404,0.0068936054048298,0.0622462699790712,-0.0010855535891813,32012.8251599999
CL G,295579,Top 20%,1,120,12,19,26,33,58.8457121605719,58.8457121605719,0.0,304.5876963909814,7.558992827898353,22.197757247064917,0.0047251865338269,0.0704944855615775,-0.0045645364514305,34250.85587
CL G,295579,Top 20%,1,130,13,20,27,34,55.3433508792379,55.3433508792379,0.0,296.8355618073832,7.43269373724847,22.084481961738422,0.0026210223041909,0.0623471999718492,-0.0069165053640988,38130.35377
CL G,295579,Top 20%,1,140,14,21,28,35,50.4640793923044,50.4640793923044,0.0,289.07254622271944,7.595981813182392,22.36853173649054,0.0006434987525288,0.0571692257160751,-0.0090025413296428,45887.85099
CL G,295579,Top 20%,1,150,15,22,29,36,42.186256549879,42.186256549879,0.0,281.50477197405843,7.65376756747277,22.596593750847973,-0.0011389724221863,0.0521080153874012,-0.0107293326259384,54919.8787699999
CL G,295579,Top 20%,1,160,16,23,30,37,33.7645644719021,33.7645644719021,0.0,276.3499466397445,7.535634175542318,22.674016453766104,-0.0026519538586152,0.0481049528632203,-0.0124126086532795,63583.66177
CL G,295579,Top 20%,1,170,17,24,31,38,35.9265217866737,35.9265217866737,0.0,272.2212692037173,7.465630413577399,22.342492816206125,-0.0038149825330522,0.0439414106230481,-0.0138917289138804,67566.18134
CL G,295579,Top 20%,1,180,18,25,32,39,31.8185249950043,31.8185249950043,0.0,267.73321388802333,7.534248892130801,21.48732356843416,-0.0045415697594254,0.056251952803796,-0.0215679922326969,67953.4085899999
CL G,295579,Top 20%,1,190,19,26,33,40,28.3432582761606,28.3432582761606,0.0,264.07667655157906,7.411716265001544,19.943812580711487,-0.004739201189297,0.043336527201926,-0.0201353638075952,67957.1991
